wolf80 - spawnhole67 - attack time: 32672206
wolf78 - coppercrab282 - attack time: 32672206
wolf77 - coppercrab286 - movesouth time: 32672206
coppercrab276 - wolf80 - idle time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf81 - spawnhole67 - damage time: 32672206
wolf78 - coppercrab282 - damage time: 32672206
wolf80 - spawnhole67 - damage time: 32672206
wolf77 - coppercrab286 - movesouth time: 32672206
wolf80 - spawnhole67 - idle time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf81 - spawnhole67 - idle time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - movesouth time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - movesouth time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - movesouth time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - movesouth time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - movesouth time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - movestep time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - engagecombat time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - attack time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - damage time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - idle time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - establishtarget time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - movestep time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - engagecombat time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - attack time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - damage time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
wolf77 - coppercrab286 - idle time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movestep time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
coppercrab278 - wolf80 - movewest time: 32672206
